grid,laps,year,round,lat,lng,alt,position_quali,q1,q2,q3,points_driver_standing,position_driver_standing,wins,points_team_standing,position_team_standing,wins_team_standing,podium,age_at_race
22,65,2008,4,41.57,2.26111,109,22.0,83.496,0.0,0.0,0.0,19.0,0.0,0.0,11.0,0.0,0,31.24435318275154
15,41,2008,4,41.57,2.26111,109,15.0,81.47200000000001,81.349,0.0,7.0,9.0,0.0,12.0,4.0,0.0,0,22.833675564681723
2,34,2008,4,41.57,2.26111,109,2.0,81.34700000000001,80.804,81.904,6.0,10.0,0.0,6.0,7.0,0.0,0,26.746064339493497
11,34,2008,4,41.57,2.26111,109,11.0,81.548,81.049,0.0,0.0,17.0,0.0,3.0,8.0,0.0,0,35.92881587953457
6,21,2008,4,41.57,2.26111,109,6.0,81.43,80.81700000000001,82.231,14.0,6.0,0.0,34.0,3.0,1.0,0,26.521560574948666
21,8,2008,4,41.57,2.26111,109,21.0,83.318,0.0,0.0,0.0,20.0,0.0,0.0,11.0,0.0,0,29.026694045174537
16,7,2008,4,41.57,2.26111,109,16.0,81.53999999999999,81.724,0.0,2.0,13.0,0.0,2.0,9.0,0.0,0,29.16084873374401
10,6,2008,4,41.57,2.26111,109,10.0,81.40899999999999,80.894,82.699,0.0,18.0,0.0,6.0,7.0,0.0,0,22.757015742642025
20,0,2008,4,41.57,2.26111,109,20.0,83.224,0.0,0.0,0.0,21.0,0.0,0.0,10.0,0.0,0,25.29226557152635
18,0,2008,4,41.57,2.26111,109,18.0,82.108,0.0,0.0,3.0,13.0,0.0,2.0,9.0,0.0,0,20.8186173853525
1,58,2008,5,40.9517,29.405,130,1.0,85.994,86.19200000000001,87.617,28.0,2.0,2.0,63.0,1.0,4.0,1,27.044490075290895
3,58,2008,5,40.9517,29.405,130,3.0,86.19200000000001,86.477,87.923,28.0,3.0,1.0,42.0,3.0,1.0,1,23.340177960301162
4,58,2008,5,40.9517,29.405,130,4.0,86.457,86.05,87.936,35.0,1.0,2.0,63.0,1.0,4.0,1,28.566735112936346
5,58,2008,5,40.9517,29.405,130,5.0,86.761,86.129,88.39,24.0,4.0,0.0,44.0,2.0,0.0,0,23.42505133470226
9,58,2008,5,40.9517,29.405,130,9.0,87.107,87.607,88.882,20.0,5.0,0.0,44.0,2.0,0.0,0,31.003422313483917
7,58,2008,5,40.9517,29.405,130,7.0,86.836,86.52199999999999,88.422,9.0,8.0,0.0,9.0,7.0,0.0,0,26.784394250513348
6,58,2008,5,40.9517,29.405,130,6.0,86.773,86.46600000000001,88.417,10.0,7.0,0.0,10.0,5.0,0.0,0,31.704312114989733
11,58,2008,5,40.9517,29.405,130,11.0,87.367,87.012,0.0,8.0,10.0,0.0,13.0,4.0,0.0,0,22.872005475701574
10,58,2008,5,40.9517,29.405,130,10.0,86.939,86.52,89.959,0.0,14.0,0.0,10.0,5.0,0.0,0,37.125256673511295
8,58,2008,5,40.9517,29.405,130,8.0,86.695,86.822,88.836,9.0,9.0,0.0,9.0,6.0,0.0,0,33.828884325804246
13,57,2008,5,40.9517,29.405,130,13.0,87.428,87.298,0.0,3.0,12.0,0.0,3.0,8.0,0.0,0,28.309377138945926
2,57,2008,5,40.9517,29.405,130,2.0,86.736,86.28999999999999,87.80799999999999,14.0,6.0,0.0,42.0,3.0,1.0,0,26.559890485968516
15,57,2008,5,40.9517,29.405,130,15.0,86.614,87.806,0.0,0.0,15.0,0.0,9.0,6.0,0.0,0,26.1492128678987
12,57,2008,5,40.9517,29.405,130,12.0,87.355,87.219,0.0,0.0,17.0,0.0,3.0,8.0,0.0,0,35.96714579055441
17,57,2008,5,40.9517,29.405,130,17.0,87.568,0.0,0.0,0.0,18.0,0.0,9.0,7.0,0.0,0,22.795345653661876
19,57,2008,5,40.9517,29.405,130,20.0,88.325,0.0,0.0,0.0,21.0,0.0,0.0,10.0,0.0,0,25.3305954825462
14,57,2008,5,40.9517,29.405,130,14.0,87.44200000000001,87.412,0.0,0.0,22.0,0.0,2.0,9.0,0.0,0,20.856947296372347
18,24,2008,5,40.9517,29.405,130,18.0,87.621,0.0,0.0,2.0,13.0,0.0,2.0,9.0,0.0,0,29.19917864476386
16,1,2008,5,40.9517,29.405,130,16.0,87.547,0.0,0.0,5.0,11.0,0.0,13.0,4.0,0.0,0,23.329226557152634
20,0,2008,5,40.9517,29.405,130,19.0,87.807,0.0,0.0,0.0,16.0,0.0,0.0,10.0,0.0,0,35.32101300479124
3,76,2008,6,43.7347,7.42056,7,3.0,75.582,75.322,75.839,38.0,1.0,2.0,53.0,2.0,2.0,1,23.378507871321013
5,76,2008,6,43.7347,7.42056,7,5.0,75.977,75.483,76.17099999999999,32.0,4.0,0.0,52.0,3.0,0.0,1,23.463381245722108
1,76,2008,6,43.7347,7.42056,7,1.0,75.19,75.11,75.787,34.0,3.0,2.0,69.0,1.0,4.0,1,27.082819986310746
9,76,2008,6,43.7347,7.42056,7,9.0,76.074,75.745,77.343,15.0,7.0,0.0,15.0,5.0,0.0,0,31.742642026009584
19,76,2008,6,43.7347,7.42056,7,18.0,76.955,0.0,0.0,4.0,12.0,0.0,6.0,8.0,0.0,0,20.895277207392198
14,76,2008,6,43.7347,7.42056,7,15.0,76.208,76.537,0.0,3.0,14.0,0.0,6.0,9.0,0.0,0,36.00547570157426
13,76,2008,6,43.7347,7.42056,7,14.0,76.756,76.479,0.0,7.0,11.0,0.0,15.0,4.0,0.0,0,23.367556468172484
4,76,2008,6,43.7347,7.42056,7,4.0,75.295,75.389,76.16499999999999,15.0,6.0,0.0,53.0,2.0,2.0,0,26.598220396988363
2,76,2008,6,43.7347,7.42056,7,2.0,75.717,75.404,75.815,35.0,2.0,2.0,69.0,1.0,4.0,0,28.605065023956193
7,75,2008,6,43.7347,7.42056,7,7.0,76.646,75.827,76.852,9.0,8.0,0.0,9.0,7.0,0.0,0,26.822724161533195
11,75,2008,6,43.7347,7.42056,7,12.0,76.259,76.101,0.0,3.0,13.0,0.0,6.0,9.0,0.0,0,28.347707049965777
10,75,2008,6,43.7347,7.42056,7,11.0,76.285,75.907,0.0,0.0,17.0,0.0,9.0,6.0,0.0,0,26.187542778918548
8,75,2008,6,43.7347,7.42056,7,8.0,76.306,75.598,77.203,9.0,9.0,0.0,9.0,6.0,0.0,0,33.86721423682409
12,72,2008,6,43.7347,7.42056,7,13.0,76.65,76.455,0.0,20.0,5.0,0.0,52.0,3.0,0.0,0,31.041752224503764
18,67,2008,6,43.7347,7.42056,7,19.0,77.225,0.0,0.0,0.0,22.0,0.0,0.0,10.0,0.0,0,25.36892539356605
6,59,2008,6,43.7347,7.42056,7,6.0,75.935,75.287,76.548,8.0,10.0,0.0,15.0,4.0,0.0,0,22.910335386721425
17,47,2008,6,43.7347,7.42056,7,17.0,76.93299999999999,0.0,0.0,0.0,19.0,0.0,9.0,7.0,0.0,0,22.833675564681723
20,36,2008,6,43.7347,7.42056,7,20.0,77.82300000000001,0.0,0.0,0.0,18.0,0.0,0.0,10.0,0.0,0,35.35934291581109
15,7,2008,6,43.7347,7.42056,7,10.0,76.086,75.839,0.0,0.0,16.0,0.0,15.0,5.0,0.0,0,37.163586584531146
16,7,2008,6,43.7347,7.42056,7,16.0,76.806,0.0,0.0,2.0,15.0,0.0,6.0,8.0,0.0,0,29.23750855578371
2,70,2008,7,45.5,-73.5228,13,2.0,77.471,77.679,78.498,42.0,1.0,1.0,70.0,2.0,1.0,1,23.50171115674196
8,70,2008,7,45.5,-73.5228,13,8.0,78.082,77.781,79.633,28.0,5.0,0.0,70.0,2.0,1.0,1,31.080082135523615
13,70,2008,7,45.5,-73.5228,13,13.0,78.168,78.238,0.0,6.0,12.0,0.0,21.0,4.0,0.0,1,37.20191649555099
11,70,2008,7,45.5,-73.5228,13,11.0,78.321,78.031,0.0,5.0,13.0,0.0,17.0,5.0,0.0,0,26.2258726899384
6,70,2008,7,45.5,-73.5228,13,6.0,77.231,77.35300000000001,79.048,38.0,3.0,2.0,73.0,1.0,4.0,0,27.121149897330596
14,70,2008,7,45.5,-73.5228,13,14.0,78.039,78.327,0.0,12.0,8.0,0.0,17.0,5.0,0.0,0,33.90554414784394
9,70,2008,7,45.5,-73.5228,13,9.0,78.256,78.02,80.848,5.0,15.0,0.0,8.0,8.0,0.0,0,36.04380561259411
19,70,2008,7,45.5,-73.5228,13,20.0,0.0,0.0,0.0,5.0,14.0,0.0,7.0,9.0,0.0,0,20.933607118412045
7,70,2008,7,45.5,-73.5228,13,7.0,77.287,77.684,79.089,15.0,6.0,0.0,53.0,3.0,2.0,0,26.636550308008214
5,70,2008,7,45.5,-73.5228,13,5.0,77.991,77.89099999999999,78.844,8.0,10.0,0.0,15.0,6.0,0.0,0,22.94866529774127
20,70,2008,7,45.5,-73.5228,13,19.0,83.565,0.0,0.0,3.0,16.0,0.0,8.0,8.0,0.0,0,28.386036960985628
10,70,2008,7,45.5,-73.5228,13,10.0,77.582,77.523,0.0,15.0,7.0,0.0,21.0,4.0,0.0,0,31.78097193702943
18,69,2008,7,45.5,-73.5228,13,16.0,78.916,0.0,0.0,2.0,17.0,0.0,7.0,9.0,0.0,0,29.27583846680356
17,51,2008,7,45.5,-73.5228,13,18.0,79.16499999999999,0.0,0.0,0.0,18.0,0.0,0.0,10.0,0.0,0,35.397672826830934
12,46,2008,7,45.5,-73.5228,13,12.0,77.638,78.062,0.0,7.0,11.0,0.0,15.0,6.0,0.0,0,23.405886379192335
4,44,2008,7,45.5,-73.5228,13,4.0,77.41499999999999,77.488,78.746,9.0,9.0,0.0,9.0,7.0,0.0,0,26.861054072553046
